text,type,cx,cy,x1,y1,x2,y2,width,height
DH SPLY MAIN LINE WTR,OTHER,333.4,114.5,167.0,99.1,499.8,129.8,332.8,30.7
DESC: No Description,OTHER,952.9,114.5,817.0,99.1,1088.8,129.8,271.8,30.7
DH RTN WTR Gcal/H,OTHER,570.8,131.5,438.0,116.1,703.6,146.8,265.6,30.7
ACCU PP SUCTN PRESS,OTHER,4653.6,131.5,4491.0,116.1,4816.1,146.8,325.1,30.7
ACCU PP DISCH PRESS,OTHER,5015.0,131.5,4857.0,116.1,5173.0,146.8,316.0,30.7
TEMP,OTHER,339.2,150.5,301.0,135.1,377.3,165.8,76.3,30.7
Defined (D03-526-04),OTHER,953.9,150.5,821.0,135.1,1086.9,165.8,265.9,30.7
TIT2641,SIGNAL,339.5,220.3,293.0,206.4,386.0,234.3,93.0,27.9
D03-524-01,REF_SIGNAL,577.0,220.3,511.0,206.4,643.0,234.3,132.0,27.9
D03-526-04,REF_SIGNAL,955.0,220.3,889.0,206.4,1021.0,234.3,132.0,27.9
PIT2621,SIGNAL,4659.2,220.3,4612.0,206.4,4706.4,234.3,94.4,27.9
PIT2626,SIGNAL,5017.2,220.3,4970.0,206.4,5064.4,234.3,94.4,27.9
A,PORT,320.4,258.2,310.0,240.7,330.8,275.6,20.8,34.9
G,PORT,360.1,258.2,348.0,240.7,372.3,275.6,24.3,34.9
G,PORT,600.1,258.2,588.0,240.7,612.3,275.6,24.3,34.9
G,PORT,980.1,258.2,968.0,240.7,992.3,275.6,24.3,34.9
A,PORT,4640.4,258.2,4630.0,240.7,4650.8,275.6,20.8,34.9
G,PORT,4680.1,258.2,4668.0,240.7,4692.3,275.6,24.3,34.9
A,PORT,5000.4,258.2,4990.0,240.7,5010.8,275.6,20.8,34.9
G,PORT,5040.1,258.2,5028.0,240.7,5052.3,275.6,24.3,34.9
-,OTHER,364.6,382.5,360.0,367.1,369.2,397.8,9.2,30.7
3/524,SHEET_REF,634.4,382.5,600.0,367.1,668.8,397.8,68.8,30.7
3/526,SHEET_REF,1014.4,382.5,980.0,367.1,1048.8,397.8,68.8,30.7
-,OTHER,4684.6,382.5,4680.0,367.1,4689.2,397.8,9.2,30.7
-,OTHER,5044.6,382.5,5040.0,367.1,5049.2,397.8,9.2,30.7
A,PORT,2979.7,425.6,2963.0,397.8,2996.3,453.5,33.3,55.8
OUT,PORT,3039.8,430.8,3024.0,422.4,3055.6,439.2,31.6,16.7
"Algorithm point			OCB0088009

Analog Value of Output			0",OTHER,2985.0,435.0,2976.0,426.0,2994.0,444.0,18.0,18.0
OCB0088009,OCB_BLOCK,3105.7,470.3,3030.0,456.4,3181.4,484.3,151.4,27.9
NUM,PORT,330.8,486.9,322.4,469.8,339.2,504.0,16.7,34.2
DEN,PORT,370.8,488.2,362.4,472.3,379.2,504.0,16.7,31.7
IN1,SIGNAL,4650.8,532.3,4642.4,520.7,4659.2,544.0,16.7,23.3
IN2,SIGNAL,4690.8,532.3,4682.4,520.7,4699.2,544.0,16.7,23.3
DESC: No,OTHER,2272.4,543.5,2209.0,528.1,2335.7,558.8,126.7,30.7
"Algorithm point			OCB0088007

Gain on Numerator				1
Bias on Numerator				0
Gain on Denominator				1
Bias on Denominator				0
Track ramp rate(units per sec)		2.5
Output Top of Scale			100
Output Bottom of Scale			0",OTHER,364.5,544.5,355.5,535.5,373.5,553.5,18.0,18.0
D03-068-02,REF_SIGNAL,2719.0,568.3,2653.0,554.4,2785.0,582.3,132.0,27.9
IN1,SIGNAL,2915.7,570.8,2904.0,562.4,2927.3,579.2,23.3,16.7
Description Defined,OTHER,2328.9,579.5,2209.0,564.1,2448.9,594.8,239.9,30.7
"Algorithm point			OCB0088016

Input 1 Gain				-1
Input 1 Bias					0
Input 2 Gain					1
Input 2 Bias					0
Input 3 Gain					1
Input 3 Bias					0
Input 4 Gain					1
Input 4 Bias					0
Output Top of Scale			100
Output Bottom of Scale			0
Track Ramp Rate(Units/Sec)		2.5",OTHER,4684.5,584.5,4675.5,575.5,4693.5,593.5,18.0,18.0
OUT,PORT,350.8,604.2,342.4,588.4,359.2,620.0,16.7,31.6
OCB0088007,OCB_BLOCK,445.7,604.3,370.0,590.4,521.4,618.3,151.4,27.9
OUT,PORT,3039.8,610.8,3024.0,602.4,3055.6,619.2,31.6,16.7
3/068,SHEET_REF,2644.4,612.5,2610.0,597.1,2678.8,627.8,68.8,30.7
OR,BLOCK_TYPE,2979.7,614.3,2961.0,600.4,2998.5,628.3,37.5,27.9
OR:030,OTHER,2984.0,614.5,2975.0,605.5,2993.0,623.5,18.0,18.0
(D03-068-02),OTHER,2290.8,615.5,2209.0,600.1,2372.5,630.8,163.5,30.7
OCB0088016,OCB_BLOCK,4765.7,643.3,4690.0,629.4,4841.4,657.3,151.4,27.9
OUT,PORT,4670.8,644.2,4662.4,628.4,4679.2,660.0,16.7,31.6
IN2,SIGNAL,2913.7,650.8,2902.0,642.4,2925.3,659.2,23.3,16.7
DESC: No,OTHER,2272.4,663.5,2209.0,648.1,2335.7,678.8,126.7,30.7
D03-066-02,REF_SIGNAL,2719.0,688.3,2653.0,674.4,2785.0,702.3,132.0,27.9
Description Defined,OTHER,2328.9,699.5,2209.0,684.1,2448.9,714.8,239.9,30.7
IN1,SIGNAL,4670.8,712.3,4662.4,700.7,4679.2,724.0,16.7,23.3
3/066,SHEET_REF,2644.4,732.5,2610.0,717.1,2678.8,747.8,68.8,30.7
(D03-066-02),OTHER,2290.8,735.5,2209.0,720.1,2372.5,750.8,163.5,30.7
ABS,BLOCK_TYPE,4679.0,764.3,4654.0,750.4,4703.9,778.3,49.9,27.9
ABSVALUE:03D,OTHER,4684.5,764.5,4675.5,755.5,4693.5,773.5,18.0,18.0
FLAG,PORT,3281.5,789.2,3261.8,769.4,3301.3,808.9,39.5,39.5
NO,PORT,3330.8,792.8,3322.4,781.5,3339.2,804.0,16.7,22.5
