type,x1,y1,x2,y2,color,width
line,40.0,40.0,40.0,3460.0,"(0.0, 0.0, 0.0)",3.0
line,40.0,3460.0,5380.0,3460.0,"(0.0, 0.0, 0.0)",3.0
line,5380.0,3460.0,5380.0,40.0,"(0.0, 0.0, 0.0)",3.0
line,5380.0,40.0,40.0,40.0,"(0.0, 0.0, 0.0)",3.0
line,5430.0,3510.0,5440.0,3510.0,"(0.0, 0.0, 0.0)",3.0
line,2340.0,3080.0,2340.0,3460.0,"(0.0, 0.0, 0.0)",3.0
line,2340.0,3080.0,5380.0,3080.0,"(0.0, 0.0, 0.0)",3.0
line,3650.0,3460.0,3650.0,3080.0,"(0.0, 0.0, 0.0)",3.0
line,3650.0,3240.0,5380.0,3240.0,"(0.0, 0.0, 0.0)",3.0
line,3650.0,3390.0,5380.0,3390.0,"(0.0, 0.0, 0.0)",3.0
line,3650.0,3160.0,5380.0,3160.0,"(0.0, 0.0, 0.0)",3.0
line,3650.0,3320.0,4520.0,3320.0,"(0.0, 0.0, 0.0)",3.0
line,4520.0,3290.0,5380.0,3290.0,"(0.0, 0.0, 0.0)",3.0
line,4520.0,3240.0,5380.0,3240.0,"(0.0, 0.0, 0.0)",3.0
line,4520.0,3240.0,4520.0,3460.0,"(0.0, 0.0, 0.0)",3.0
line,4810.0,3240.0,4810.0,3390.0,"(0.0, 0.0, 0.0)",3.0
line,4990.0,3240.0,4990.0,3390.0,"(0.0, 0.0, 0.0)",3.0
line,5150.0,3080.0,5150.0,3390.0,"(0.0, 0.0, 0.0)",3.0
line,800.0,2240.0,820.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,820.0,2240.0,809.0,2236.0,"(0.0, 0.0, 0.0)",3.0
line,809.0,2236.0,809.0,2244.0,"(0.0, 0.0, 0.0)",3.0
line,809.0,2244.0,820.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,860.0,2240.0,880.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,880.0,2240.0,1060.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,3180.0,2240.0,3200.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,3200.0,2240.0,3189.0,2236.0,"(0.0, 0.0, 0.0)",3.0
line,3189.0,2236.0,3189.0,2244.0,"(0.0, 0.0, 0.0)",3.0
line,3189.0,2244.0,3200.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,3240.0,2240.0,3260.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,3260.0,2240.0,3440.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,4700.0,2240.0,4720.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,4720.0,2240.0,4709.0,2236.0,"(0.0, 0.0, 0.0)",3.0
line,4709.0,2236.0,4709.0,2244.0,"(0.0, 0.0, 0.0)",3.0
line,4709.0,2244.0,4720.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,4760.0,2240.0,4780.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,4780.0,2240.0,4880.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,1760.0,2200.0,1780.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,1780.0,2200.0,1769.0,2196.0,"(0.0, 0.0, 0.0)",3.0
line,1769.0,2196.0,1769.0,2204.0,"(0.0, 0.0, 0.0)",3.0
line,1769.0,2204.0,1780.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,1820.0,2200.0,1840.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,1840.0,2200.0,2060.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,2060.0,2200.0,2060.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,2060.0,2240.0,2120.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,2600.0,700.0,2620.0,700.0,"(0.0, 0.0, 0.0)",3.0
line,2620.0,700.0,2880.0,700.0,"(0.0, 0.0, 0.0)",3.0
line,2880.0,700.0,2880.0,660.0,"(0.0, 0.0, 0.0)",3.0
line,2880.0,660.0,2920.0,660.0,"(0.0, 0.0, 0.0)",3.0
line,2490.0,700.0,2520.0,700.0,"(0.0, 0.0, 0.0)",3.0
line,2600.0,2640.0,2620.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,2620.0,2640.0,3200.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,3200.0,2640.0,3280.0,2720.0,"(0.0, 0.0, 0.0)",3.0
line,2490.0,2640.0,2520.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,4660.0,360.0,4660.0,380.0,"(0.0, 0.0, 0.0)",3.0
line,4660.0,380.0,4660.0,540.0,"(0.0, 0.0, 0.0)",3.0
line,4660.0,250.0,4660.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,4620.0,360.0,4700.0,360.0,"(0.0, 0.0, 0.0)",3.0
line,4700.0,280.0,4620.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,4700.0,360.0,4700.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,4620.0,280.0,4620.0,360.0,"(0.0, 0.0, 0.0)",3.0
line,5020.0,360.0,5020.0,380.0,"(0.0, 0.0, 0.0)",3.0
line,5020.0,380.0,5020.0,500.0,"(0.0, 0.0, 0.0)",3.0
line,5020.0,500.0,4700.0,500.0,"(0.0, 0.0, 0.0)",3.0
line,4700.0,500.0,4700.0,540.0,"(0.0, 0.0, 0.0)",3.0
line,5020.0,500.0,5020.0,1240.0,"(0.0, 0.0, 0.0)",3.0
line,5020.0,250.0,5020.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,4980.0,360.0,5060.0,360.0,"(0.0, 0.0, 0.0)",3.0
line,5060.0,280.0,4980.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,5060.0,360.0,5060.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,4980.0,280.0,4980.0,360.0,"(0.0, 0.0, 0.0)",3.0
line,3960.0,1340.0,3980.0,1340.0,"(0.0, 0.0, 0.0)",3.0
line,3980.0,1340.0,4420.0,1340.0,"(0.0, 0.0, 0.0)",3.0
line,3850.0,1340.0,3880.0,1340.0,"(0.0, 0.0, 0.0)",3.0
line,3960.0,1100.0,3980.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,3980.0,1100.0,4320.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,3850.0,1100.0,3880.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,4300.0,2640.0,4320.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,4320.0,2640.0,4560.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,4560.0,2640.0,4620.0,2720.0,"(0.0, 0.0, 0.0)",3.0
line,4190.0,2640.0,4220.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,3960.0,1440.0,3980.0,1440.0,"(0.0, 0.0, 0.0)",3.0
line,3980.0,1440.0,4240.0,1440.0,"(0.0, 0.0, 0.0)",3.0
line,4240.0,1440.0,4240.0,1420.0,"(0.0, 0.0, 0.0)",3.0
line,4240.0,1420.0,4420.0,1420.0,"(0.0, 0.0, 0.0)",3.0
line,3850.0,1440.0,3880.0,1440.0,"(0.0, 0.0, 0.0)",3.0
line,3960.0,1600.0,3980.0,1600.0,"(0.0, 0.0, 0.0)",3.0
line,3980.0,1600.0,4460.0,1600.0,"(0.0, 0.0, 0.0)",3.0
line,4460.0,1600.0,4460.0,1520.0,"(0.0, 0.0, 0.0)",3.0
line,4460.0,1520.0,4620.0,1520.0,"(0.0, 0.0, 0.0)",3.0
line,3850.0,1600.0,3880.0,1600.0,"(0.0, 0.0, 0.0)",3.0
line,340.0,360.0,340.0,380.0,"(0.0, 0.0, 0.0)",3.0
line,340.0,380.0,340.0,500.0,"(0.0, 0.0, 0.0)",3.0
line,340.0,250.0,340.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,300.0,360.0,380.0,360.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,280.0,300.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,360.0,380.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,300.0,280.0,300.0,360.0,"(0.0, 0.0, 0.0)",3.0
line,580.0,360.0,580.0,380.0,"(0.0, 0.0, 0.0)",3.0
